#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-23T15:00:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-23T15:00:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/20/catalog&-out.max=400&-out=Sh2&-out=_RAJ2000&-out=_DEJ2000&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
#Column	Sh2	(I4)	[1/313]+ Sharpless HII catalog number	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Diam	(I4)	Maximun angular diameter of H II region	[ucd=phys.angSize;src]
Sh2	_RAJ2000	_DEJ2000	Diam
 	deg	deg	arcmin
----	----------	----------	----
   1	239.713366	-26.120520	 150
   2	256.027602	-38.142490	  60
   3	258.437642	-38.503106	  12
   4	259.953265	-39.338753	   5
   5	260.014460	-38.454770	 100
   6	258.767140	-37.116545	   4
   7	240.082349	-22.950642	 240
   8	260.353529	-36.034691	 120
   9	245.295389	-25.589444	  80
  10	259.750056	-34.090316	  60
  11	261.628966	-34.205691	  90
  12	263.984075	-32.599595	 120
  13	262.619000	-31.562676	  40
  14	262.576996	-30.262997	   2
  15	267.643312	-31.264091	  30
  16	266.967541	-29.303855	  20
  17	266.536694	-28.858004	  25
  18	267.191969	-29.251675	   4
  19	267.340314	-29.116895	  12
  20	267.309613	-28.667165	  10
  21	267.912701	-28.894660	   5
  22	268.765749	-25.036147	  60
  23	243.352583	 -8.372276	  50
  24	242.765860	 -7.077277	  30
  25	271.358484	-24.394248	  90
  26	269.745959	-23.326526	  20
  27	249.301709	-10.569733	 480
  28	270.674025	-23.584187	  40
  29	272.628815	-23.998547	  40
  30	270.892483	-23.015365	  20
  31	272.826450	-23.796616	   8
  32	272.724732	-23.647595	   8
  33	239.968230	 -1.617448	  35
  34	271.602081	-21.658393	  90
  35	273.961233	-20.252068	  20
  36	241.376397	 +0.394481	  45
  37	274.429700	-19.664158	  20
  38	272.189772	-18.269167	   3
  39	274.193705	-18.649727	   3
  40	273.009094	-17.744513	  15
  41	273.964267	-18.235265	  90
  42	272.574219	-16.815356	   3
  43	274.105310	-17.400520	  15
  44	274.123225	-16.733645	  60
  45	275.192160	-16.173250	  60
  46	271.546426	-14.158540	  25
  47	274.436407	-15.613882	   5
  48	275.600545	-14.585880	  10
  49	274.669233	-13.961541	  90
  50	276.376704	-14.711707	  35
  51	280.194711	-16.558348	  35
  52	296.945185	-23.087477	   2
  53	276.311480	-13.228931	  15
  54	274.471479	-11.730014	 140
  55	278.046277	-11.762104	   5
  56	277.775865	 -9.714613	   7
  57	277.640006	 -8.615871	   2
  58	277.863475	 -8.463708	   8
  59	279.254798	 -7.600271	  20
  60	279.171028	 -6.701034	  20
  61	278.229667	 -5.010015	   2
  62	276.893525	 -3.856186	   4
  63	299.429930	-14.115665	  55
  64	277.899709	 -1.913050	  25
  65	281.742181	 -3.742939	   7
